city,seed,backbone,phase,K,eps,kappa,gating,boundary_frac,macroCatMRR,CatMRR,HR20,NDCG20,Coverage,Gini,LT20
ml1m,42,EASE,keps,5,0.1,0.25,double,0.6918,0.14607367563680432,0.4007756664777675,0.07426002325126801,0.027865214805291857,0.4322085889570552,0.9184600563627701,0.018385991
ml1m,42,AFM,keps,5,0.1,0.25,double,0.6918,0.21757168213782696,0.4399947078726389,0.09020154528338768,0.035128892496307636,0.3693251533742331,0.9260774006927914,0.051308654
ml1m,42,SASRec,keps,5,0.1,0.25,double,0.6918,0.3441673157440796,0.5201854678106664,0.321690552371938,0.13521020976883893,0.8411042944785276,0.5670730413482881,0.5745486
ml1m,42,B_blind,keps,6,0.01,0.25,double,0.0996,0.1366003413837217,0.37739943672834547,0.06345744297780842,0.02409206391152971,0.6901840490797546,0.7384310105818579,0.24672425
ml1m,42,EASE,keps,6,0.01,0.25,double,0.0996,0.1388556419591115,0.35517915134811767,0.06780933960225928,0.025553834864261476,0.44355828220858895,0.9018691130592433,0.044110537
ml1m,42,AFM,keps,6,0.01,0.25,double,0.0996,0.22054351852717594,0.4358254505925055,0.09047418183314643,0.03506694324756134,0.37055214723926383,0.9225042258823006,0.054790176
ml1m,42,SASRec,keps,6,0.01,0.25,double,0.0996,0.34272531255300126,0.5085478395764397,0.31852693957756767,0.13355980452857003,0.8438650306748466,0.5632529172805116,0.5791582
ml1m,42,B_blind,keps,6,0.03,0.25,double,0.3085,0.1358495846314301,0.37795014845336816,0.0631179333120711,0.02406438992815463,0.6868098159509203,0.7394397210024566,0.24558531
ml1m,42,EASE,keps,6,0.03,0.25,double,0.3085,0.14468418290080562,0.3770862619403492,0.0709729523966296,0.02659876439944078,0.4420245398773006,0.9075768613211892,0.030733338
ml1m,42,AFM,keps,6,0.03,0.25,double,0.3085,0.219341230279399,0.438228307856586,0.09017068076832066,0.035026609370193675,0.36993865030674844,0.9236694105578227,0.053467117
ml1m,42,SASRec,keps,6,0.03,0.25,double,0.3085,0.34346232582529646,0.5130553467387573,0.31975123200855976,0.13418462990734964,0.8429447852760736,0.564295168403169,0.57819057
ml1m,42,B_blind,keps,6,0.05,0.25,double,0.4417,0.13564668618916717,0.3781095564129956,0.06284015267646786,0.023994588360904873,0.6858895705521473,0.740233618500834,0.24442226
ml1m,42,EASE,keps,6,0.05,0.25,double,0.4417,0.1456870935709538,0.3856746274887959,0.07238243191802385,0.027198422032048076,0.4395705521472393,0.9106855529516731,0.027521374
ml1m,42,AFM,keps,6,0.05,0.25,double,0.4417,0.21940832897102502,0.4391645888131317,0.09037130011625634,0.035139351457388286,0.36809815950920244,0.924270710326301,0.052708875
ml1m,42,SASRec,keps,6,0.05,0.25,double,0.4417,0.3438661955337948,0.5157341453062404,0.32041996316834537,0.13461425690956072,0.8429447852760736,0.5651899666720042,0.5770435
ml1m,42,B_blind,keps,6,0.1,0.25,double,0.7116,0.13058634240770284,0.3747048252584209,0.06248006666735254,0.023780642557835224,0.6834355828220859,0.7442736045846616,0.23902202
ml1m,42,EASE,keps,6,0.1,0.25,double,0.7116,0.13254116828752516,0.40374101958856484,0.0732363501682116,0.027436807457635576,0.4067484662576687,0.9234973822283636,0.013253737
ml1m,42,AFM,keps,6,0.1,0.25,double,0.7116,0.21159991692574087,0.43977434447688724,0.08988775604687291,0.03490128826423378,0.36441717791411044,0.9274173176565159,0.04860339
ml1m,42,SASRec,keps,6,0.1,0.25,double,0.7116,0.3406365271843128,0.523380417333285,0.32243130073354664,0.13568396900248486,0.8401840490797546,0.5673827440346433,0.57167715
ml1m,43,B_blind,kappa,5,0.03,0.0,double,0.2424,0.12647804061904258,0.35961871698587405,0.06087511188386712,0.02313640038643617,0.6717791411042945,0.7451459563351057,0.23823033
ml1m,43,B_blind,kappa,5,0.03,0.05,double,0.2424,0.12869677781034802,0.364395513789253,0.06146153767014064,0.023352531719150478,0.6751533742331288,0.7444784370335804,0.23889907
ml1m,43,B_blind,kappa,5,0.03,0.1,double,0.2424,0.1309035413432331,0.36923260150443094,0.06196565808290209,0.02357339118178086,0.6745398773006135,0.7431116275464722,0.24103437
ml1m,43,B_blind,kappa,5,0.03,0.25,double,0.2424,0.13564701201832774,0.37900310434135465,0.06309735696869309,0.024049624105658494,0.6877300613496933,0.7393958369007936,0.24563678
ml1m,43,B_blind,kappa,5,0.03,0.5,double,0.2424,0.1403314590155785,0.3847726770349339,0.06486692249920267,0.024652488535560863,0.7079754601226994,0.7306809870232069,0.257087
ml1m,43,B_blind,kappa,5,0.03,1.0,double,0.2424,0.142714958292755,0.37686257217297103,0.0660191977283717,0.024979561949189818,0.7386503067484662,0.7137987884194572,0.28144372
ml1m,43,B_blind,kappa,5,0.03,1.5,double,0.2424,0.14210334459748364,0.36507341090297796,0.06630726653566395,0.024976411992956755,0.75,0.7057582767552266,0.30033183
ml1m,43,B_blind,kappa,5,0.03,0.0,single,0.2424,0.12647804061904258,0.35961871698587405,0.06087511188386712,0.02313640038643617,0.6717791411042945,0.7451459563351057,0.23823033
ml1m,43,B_blind,kappa,5,0.03,0.05,single,0.2424,0.12888340323052744,0.36453837459761296,0.061512978528585685,0.023367851088244566,0.6745398773006135,0.7444316438409164,0.23891757
ml1m,43,B_blind,kappa,5,0.03,0.1,single,0.2424,0.1312675477471375,0.36908193182120114,0.062006810769658124,0.023583474388091486,0.6748466257668712,0.7428841661692471,0.24144796
ml1m,43,B_blind,kappa,5,0.03,0.25,single,0.2424,0.13625682649294077,0.3781297229730444,0.06307678062531508,0.02402165847171428,0.6877300613496933,0.7386855188050421,0.24670316
ml1m,43,B_blind,kappa,5,0.03,0.5,single,0.2424,0.14112014193577066,0.38261239887728804,0.06513441496311691,0.024670432769750932,0.7098159509202454,0.7289208197059767,0.25970843
