dataset,n,seed,arm,kappa,K,eps,n_req,n_users,macroCatMRR,CatMRR,HR20,NDCG20
ml1m,21,43,SIT,0.1,5,0.02,97199,6040,0.15930727535604622,0.3503595387103869,0.10334468461609687,0.04094157611667251
ml1m,21,43,PERM,0.1,5,0.02,97199,6040,0.11756124597509876,0.24603196826269383,0.07083406207882798,0.02890576305283296
ml1m,21,44,BASE,0.1,5,0.02,97199,6040,0.17343453437345968,0.4114063848397324,0.12085515283079044,0.046266464432673356
ml1m,21,44,PRIOR,0.1,5,0.02,97199,6040,0.19109376152550087,0.35866457485950404,0.11400323048591035,0.04428861521892649
ml1m,21,44,SIT,0.1,5,0.02,97199,6040,0.15930571028504728,0.35035877557677264,0.10334468461609687,0.040941498043653345
ml1m,21,44,PERM,0.1,5,0.02,97199,6040,0.1204505203026498,0.24578589753069818,0.07290198458831881,0.029675513058117425
ml1m,21,45,BASE,0.1,5,0.02,97199,6040,0.17343453437345968,0.4114063848397324,0.12085515283079044,0.046266464432673356
ml1m,21,45,PRIOR,0.1,5,0.02,97199,6040,0.19107629844049262,0.35866354158663655,0.11398265414253234,0.044279294825071286
ml1m,21,45,SIT,0.1,5,0.02,97199,6040,0.15931310745379146,0.3503822976564811,0.10333439644440787,0.04093983229772317
ml1m,21,45,PERM,0.1,5,0.02,97199,6040,0.11641378468318231,0.24481263135523018,0.07153365775368059,0.0288241215432139
ml1m,21,46,BASE,0.1,5,0.02,97199,6040,0.17343453437345968,0.4114063848397324,0.12085515283079044,0.046266464432673356
ml1m,21,46,PRIOR,0.1,5,0.02,97199,6040,0.19107295005978953,0.35866781564165595,0.11397236597084331,0.04427651297643157
ml1m,21,46,SIT,0.1,5,0.02,97199,6040,0.159324380512844,0.3504518699741328,0.10333439644440787,0.04093873470160199
ml1m,21,46,PERM,0.1,5,0.02,97199,6040,0.11269722081200811,0.24498455573586594,0.07094723196740707,0.028725793676020284
ml1m,all,42,BASE,0.1,5,0.03,97199,6040,0.14043699845217558,0.39542786182094464,0.083241597135773,0.031225795249636683
ml1m,all,42,PRIOR,0.1,5,0.03,97199,6040,0.14487554379956918,0.38553653807538213,0.08359139497319931,0.031405033254445734
ml1m,all,42,SIT,0.1,5,0.03,97199,6040,0.15349110602143926,0.4132053386805627,0.0873980184981327,0.03286743311733908
ml1m,all,42,PERM,0.1,5,0.03,97199,6040,0.13352456016567318,0.3608411847162125,0.07482587269416352,0.028469375575927422
ml1m,all,43,BASE,0.1,5,0.03,97199,6040,0.14043699845217558,0.39542786182094464,0.083241597135773,0.031225795249636683
ml1m,all,43,PRIOR,0.1,5,0.03,97199,6040,0.14487740276577077,0.38560309091807426,0.08359139497319931,0.031404966325432694
ml1m,all,43,SIT,0.1,5,0.03,97199,6040,0.15355063115470802,0.41322243335144315,0.08741859484151071,0.032872815751050236
ml1m,all,43,PERM,0.1,5,0.03,97199,6040,0.1342265917145532,0.35983600280445904,0.07505221247132172,0.028359168498570453
ml1m,all,44,BASE,0.1,5,0.03,97199,6040,0.14043699845217558,0.39542786182094464,0.083241597135773,0.031225795249636683
ml1m,all,44,PRIOR,0.1,5,0.03,97199,6040,0.14487488791255243,0.38553183045742745,0.08359139497319931,0.03140465441005057
